,pw,spv,ta
ACCESS-CM2,8.239912,2.233343,8.817106
ACCESS-ESM1-5,7.660779,-1.8191706,7.353865
BCC-CSM2-MR,6.4645863,-1.8975197,6.2820635
CAMS-CSM1-0,4.1436796,-4.044269,4.9984255
CAS-ESM2-0,6.8744693,-0.6325809,7.5488667
CESM2-WACCM,6.902911,-4.3682127,8.86617
CESM2,5.6411786,-2.1697967,8.617495
CIESM,7.2290206,0.8485947,8.822822
CMCC-CM2-SR5,7.173451,-0.959049,7.092611
CMCC-ESM2,7.0637484,0.7822796,7.3910174
CNRM-CM6-1,7.802762,-5.452802,9.155793
CNRM-ESM2-1,7.4995975,-4.57881,8.333224
CanESM5,11.337299,1.7968365,10.977703
E3SM-1-0,11.800417,-0.40088984,9.744837
EC-Earth3,9.062385,-4.168163,7.913102
FGOALS-g3,5.2933607,-2.2102573,5.90351
GISS-E2-1-G,5.6254177,4.381722,7.594258
GISS-E2-1-H,6.88089,2.0540996,7.5900636
HadGEM3-GC31-LL,9.541857,-0.21297024,9.059858
HadGEM3-GC31-MM,8.412332,-0.32710773,8.894144
IITM-ESM,5.216192,-2.420276,5.3215833
INM-CM4-8,4.4360766,2.2114499,5.469689
INM-CM5-0,4.8181944,0.71354717,4.735122
IPSL-CM6A-LR,8.067258,-0.036651716,9.271429
KACE-1-0-G,7.3663535,0.18857683,8.251687
MCM-UA-1-0,8.266723,3.0591404,6.1997595
MIROC-ES2L,5.890547,3.9014044,6.4718447
MIROC6,5.992928,0.35474643,5.4813557
MPI-ESM1-2-HR,5.9259577,-2.737437,5.829076
MPI-ESM1-2-LR,6.0835176,-0.57385665,6.0987883
MRI-ESM2-0,6.9005947,-2.013304,7.290589
NESM3,8.957015,0.32208946,8.178308
NorESM2-LM,5.199321,5.5934505,5.7186804
NorESM2-MM,4.226941,-1.586888,6.171216
TaiESM1,7.5421023,-0.97499275,8.630571
UKESM1-0-LL,10.532533,-2.9747155,9.583548
